=== RUN   TestWorkerDeploymentSuite
=== PAUSE TestWorkerDeploymentSuite
=== CONT  TestWorkerDeploymentSuite
    logger.go:146: 2025-06-27T16:21:01.149-0400	info	created database	{"database": "test_0627202101_wgh", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/common/persistence/sql/test_sql_persistence.go:137"}
    logger.go:146: 2025-06-27T16:21:01.149-0400	info	No schema directory provided, skipping schema setup	{"logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/common/persistence/sql/test_sql_persistence.go:75"}
    logger.go:146: 2025-06-27T16:21:01.150-0400	info	PProf listen on 	{"host": "localhost", "port": 7000, "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/common/pprof/pprof.go:58"}
    logger.go:146: 2025-06-27T16:21:01.155-0400	debug	initialized custom fxevent.Logger	{"component": "fx", "function": "go.temporal.io/server/temporal.init.func6()", "host": "127.0.0.1:58316", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1148"}
    logger.go:146: 2025-06-27T16:21:01.155-0400	debug	invoking	{"component": "fx", "function": "go.temporal.io/server/common/persistence/client.DataStoreFactoryLifetimeHooks()", "host": "127.0.0.1:58316", "module": "", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1109"}
    logger.go:146: 2025-06-27T16:21:01.156-0400	debug	invoking	{"component": "fx", "function": "go.temporal.io/server/common/cluster.MetadataLifetimeHooks()", "host": "127.0.0.1:58316", "module": "", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1109"}
    logger.go:146: 2025-06-27T16:21:01.156-0400	info	Quota changed	{"component": "persistence", "current-quota": null, "host": "127.0.0.1:58316", "new-quota": 3000, "scope": "host", "service": "matching", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/common/quotas/calculator/logged_calculator.go:100"}
    logger.go:146: 2025-06-27T16:21:01.156-0400	debug	invoking	{"component": "fx", "function": "go.temporal.io/server/common/namespace/nsregistry.RegistryLifetimeHooks()", "host": "127.0.0.1:58316", "module": "", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1109"}
    logger.go:146: 2025-06-27T16:21:01.157-0400	debug	invoking	{"component": "fx", "function": "go.temporal.io/server/common/metrics.RuntimeMetricsReporterLifetimeHooks()", "host": "127.0.0.1:58316", "module": "", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1109"}
    logger.go:146: 2025-06-27T16:21:01.157-0400	debug	invoking	{"component": "fx", "function": "go.temporal.io/server/common/deadlock.init.func1()", "host": "127.0.0.1:58316", "module": "", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1109"}
    logger.go:146: 2025-06-27T16:21:01.157-0400	debug	invoking	{"component": "fx", "function": "go.temporal.io/server/service.initPersistenceLazyLoadedServiceResolver()", "host": "127.0.0.1:58316", "module": "", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1109"}
    logger.go:146: 2025-06-27T16:21:01.157-0400	info	Initialized service resolver for persistence rate limiting	{"host": "127.0.0.1:58316", "service": "matching", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/service/fx.go:66"}
    logger.go:146: 2025-06-27T16:21:01.157-0400	debug	invoking	{"component": "fx", "function": "go.temporal.io/server/service/matching.ServiceLifetimeHooks()", "host": "127.0.0.1:58316", "module": "", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1109"}
    logger.go:146: 2025-06-27T16:21:01.157-0400	info	Created gRPC listener	{"address": "127.0.0.1:58316", "host": "127.0.0.1:58316", "service": "matching", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/common/rpc/rpc.go:166"}
    logger.go:146: 2025-06-27T16:21:01.157-0400	info	historyClient: ownership caching disabled	{"host": "127.0.0.1:58316", "service": "matching", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/client/history/client.go:66"}
    logger.go:146: 2025-06-27T16:21:01.157-0400	info	creating new visibility manager	{"host": "127.0.0.1:58316", "visibility_index_name": "test_0627202101_wgh", "visibility_plugin_name": "sqlite", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/common/persistence/visibility/factory.go:131"}
    logger.go:146: 2025-06-27T16:21:01.158-0400	debug	invoking	{"component": "fx", "function": "reflect.makeFuncStub()", "host": "127.0.0.1:58316", "module": "", "logging-call-at": "/Users/shivamsaraf/Desktop/work/temporal/temporal/fx.go:1109"}
